Atualizado em: 2025-01-27
"Aeroporto_Origem_Designador_OACI";"Aeroporto_Origem_Nome_UF_Pais ";"Aeroporto_Destino_Designador_OACI";"Aeroporto_Destino_Nome_UF_Pais";"Etapas_Previstas";"Percentuais_de_Cancelamentos";"Percentuais_de_Atrasos_superiores_a_30_minutos";"Percentuais_de_Atrasos_superiores_a_60_minutos"
"CYUL";"MONTRÉAL-PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT(CANADÁ)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"30";"0";"16,67";"3,33"
"CYYZ";"TORONTO PEARSON INTERNATIONAL AIRPORT(CANADÁ)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"3,23";"40";"13,33"
"EDDF";"FRANKFURT INTERNATIONAL AIRPORT(ALEMANHA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"21";"38,1";"0";"0"
"EDDF";"FRANKFURT INTERNATIONAL AIRPORT(ALEMANHA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"61";"1,64";"11,67";"1,67"
"EDDM";"MUNICH INTERNATIONAL AIRPORT (FRANZ JOSEF STRAUß INTERNATIONAL AIRPORT)(ALEMANHA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"10";"0";"10";"0"
"EGLL";"LONDON HEATHROW AIRPORT(REINO UNIDO)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"0";"3,23";"0"
"EGLL";"LONDON HEATHROW AIRPORT(REINO UNIDO)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"75";"4";"20,83";"4,17"
"EHAM";"AMSTERDAM AIRPORT SCHIPHOL(HOLANDA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"0";"6,45";"6,45"
"EHAM";"AMSTERDAM AIRPORT SCHIPHOL(HOLANDA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"6,45";"3,23"
"FACT";"CAPE TOWN INTERNATIONAL AIRPORT(ÁFRICA DO SUL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"9";"11,11";"12,5";"12,5"
"FAOR";"OR TAMBO INTERNATIONAL AIRPORT(ÁFRICA DO SUL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"27";"3,7";"23,08";"11,54"
"FNLU";"QUATRO DE FEVEREIRO AIRPORT(ANGOLA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"20";"35";"23,08";"15,38"
"HAAB";"BOLE INTERNATIONAL AIRPORT(ETIÓPIA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"29,03";"3,23"
"KATL";"HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"20";"0";"25";"20"
"KATL";"HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"62";"1,61";"14,75";"6,56"
"KBOS";"LOGAN INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"13";"0";"61,54";"46,15"
"KDFW";"DALLAS-FORT WORTH INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"9,68";"25";"7,14"
"KDFW";"DALLAS-FORT WORTH INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"35,48";"29,03"
"KEWR";"NEWARK LIBERTY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"29,03";"19,35"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"19";"0";"42,11";"36,84"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"12";"16,67";"10";"0"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"5";"0";"20";"0"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBKP";"VIRACOPOS(SP, BRASIL)";"44";"9,09";"35";"12,5"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"7";"0";"57,14";"14,29"
"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"TNCC";"HATO INTERNATIONAL AIRPORT(CURAÇAO)";"13";"0";"38,46";"7,69"
"KIAD";"WASHINGTON DULLES INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"19,35";"12,9"
"KIAH";"GEORGE BUSH INTERCONTINENTAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"0";"25,81";"6,45"
"KIAH";"GEORGE BUSH INTERCONTINENTAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"41,94";"12,9"
"KJFK";"JOHN F. KENNEDY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"42";"2,38";"4,88";"0"
"KJFK";"JOHN F. KENNEDY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"93";"3,23";"14,44";"7,78"
"KLAX";"LOS ANGELES INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"18";"0";"0";"0"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"50";"4";"2,08";"2,08"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"9";"0";"33,33";"11,11"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"4";"0";"0";"0"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"3,23";"3,23"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBKP";"VIRACOPOS(SP, BRASIL)";"57";"12,28";"26";"12"
"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"12";"0";"100";"33,33"
"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"48";"2,08";"4,26";"0"
"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"5";"0";"0";"0"
"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"21";"0";"33,33";"33,33"
